MRK000207215_M
MRK000210941_M
MRK000210943_M
MRK000219525_M
MRK000219527_M
MRK000219529_M
MRK000219531_M
MRK000219533_M
MRK000219974_M
MRK000224262_M
MRK000224264_M
MRK000224266_M
MRK000224268_M
MRK000224270_M
MRK000224272_M
MRK000224274_M
MRK000224276_M
NTO39102_M
NTO39105_M
NTO39106_M
NTO39108_M
NTO39110_M
NTO39111_M
NTO39112_M
NTO39113_M
NTO39114_M
NTO39115_M
NTO39116_M
NTO39117_M
NTO46391_M
NTO46392_M
NTO46393_M
MRK000010325_M
MRK000018381_M
MRK000037051_M
MRK000037055_M
MRK000037057_M
MRK000037061_M
MRK000037063_M
MRK000224278_M
MRK000224280_M
MRK000224282_M
MRK000224284_M
MRK000224286_M
MRK000224294_M
MRK000224296_M
MRK000224298_M
NTO39121_M
NTO39122_M
NTO39123_M
NTO39124_M
MRK000010329_M
MRK000010331_M
MRK000010333_M
MRK000024497_M
MRK000010346_M
MRK000016290_M
CRD40664_M
CRD40665_M
CRD8965_M
CRD8966_M
CRD8967_M
CRD8968_M
CRD40044_M
CRD8969_M
CRD8970_M
CRD8971_M
CRD8972_M
CRD8973_M
CRD8974_M
MRK000010349_M
MRK000010372_M
MRK000017114_M
MRK000018146_M
MRK000018731_M
MRK000018740_M
MRK000018755_M
MRK000019511_M
MRK000038082_M
BEY12321430_M
BEY12351935_M
BEY12351936_M
BEY43770_M
MRK000010367_M
MRK000010368_M
MRK000010370_M
MRK000010376_M
MRK000010379_M
MRK000010380_M
MRK000012059_M
MRK000012061_M
MRK000012294_M
MRK000012333_M
MRK000012370_M
MRK000012405_M
MRK000017131_M
MRK000018780_M
MRK000019494_M
MRK000019498_M
MRK000019500_M
MRK000019502_M
MRK000019673_M
MRK000024493_M
MRK000024568_M
MRK000026309_M
MRK000026810_M
MRK000026818_M
MRK000026822_M
MRK000026824_M
MRK000026828_M
MRK000026970_M
MRK000027039_M
MRK000027045_M
MRK000027771_M
MRK000027781_M
